172.0,247.0
10.0,136.0
41.0,104.0
38.0,201.0
205.0,140.0
218.0,246.0
24.0,127.0
234.0,50.0
9.0,1.0
265.0,141.0
166.0,33.0
39.0,299.0
139.0,233.0
239.0,171.0
220.0,143.0
48.0,170.0
257.0,159.0
43.0,96.0
175.0,8.0
241.0,168.0
14.0,280.0
128.0,33.0
91.0,254.0
121.0,128.0
132.0,271.0
266.0,199.0
115.0,227.0
94.0,8.0
169.0,181.0
148.0,254.0
144.0,293.0
30.0,91.0
190.0,87.0
273.0,76.0
103.0,186.0
292.0,124.0
171.0,250.0
93.0,267.0
290.0,254.0
217.0,83.0
25.0,29.0
170.0,1.0
90.0,39.0
206.0,299.0
19.0,134.0
64.0,53.0
256.0,212.0
239.0,267.0
108.0,125.0
121.0,187.0
69.0,113.0
186.0,198.0
205.0,7.0
92.0,142.0
5.0,66.0
160.0,107.0
72.0,193.0
48.0,58.0
1.0,111.0
258.0,283.0
292.0,294.0
136.0,123.0
145.0,259.0
47.0,179.0
204.0,286.0
18.0,290.0
229.0,161.0
147.0,0.0
27.0,84.0
151.0,40.0
137.0,263.0
157.0,135.0
194.0,212.0
136.0,213.0
231.0,260.0
153.0,212.0
85.0,99.0
12.0,99.0
173.0,70.0
30.0,148.0
197.0,102.0
259.0,137.0
46.0,273.0
261.0,281.0
161.0,295.0
286.0,267.0
66.0,208.0
48.0,1.0
100.0,6.0
116.0,297.0
26.0,276.0
29.0,69.0
64.0,148.0
147.0,34.0
264.0,177.0
137.0,4.0
75.0,88.0
76.0,287.0
226.0,261.0
55.0,96.0
